PERMNO,date,TICKER
17977,20201214,TLRY
17977,20201215,TLRY
17977,20201216,TLRY
17977,20201217,TLRY
17977,20201218,TLRY
17977,20201221,TLRY
17977,20201222,TLRY
17977,20201223,TLRY
17977,20201224,TLRY
17977,20201228,TLRY
17977,20201229,TLRY
17977,20201230,TLRY
17977,20201231,TLRY
18077,20201201,FTCH
18077,20201202,FTCH
18077,20201203,FTCH
18077,20201204,FTCH
18077,20201207,FTCH
18077,20201208,FTCH
18077,20201209,FTCH
18077,20201210,FTCH
18077,20201211,FTCH
18077,20201214,FTCH
18077,20201215,FTCH
18077,20201216,FTCH
18077,20201217,FTCH
18077,20201218,FTCH
18077,20201221,FTCH
18077,20201222,FTCH
18077,20201223,FTCH
18077,20201224,FTCH
18077,20201228,FTCH
18077,20201229,FTCH
18077,20201230,FTCH
18077,20201231,FTCH
18087,20201201,NIO
18087,20201202,NIO
18087,20201203,NIO
18087,20201204,NIO
18087,20201207,NIO
18087,20201208,NIO
18087,20201209,NIO
18087,20201210,NIO
18087,20201211,NIO
18087,20201214,NIO
18087,20201215,NIO
18087,20201216,NIO
18087,20201217,NIO
18087,20201218,NIO
18087,20201221,NIO
18087,20201222,NIO
18087,20201223,NIO
18087,20201224,NIO
18087,20201228,NIO
18087,20201229,NIO
18087,20201230,NIO
18087,20201231,NIO
18299,20201201,TME
18299,20201202,TME
18299,20201203,TME
18299,20201204,TME
18299,20201207,TME
18299,20201208,TME
18299,20201209,TME
18299,20201210,TME
18299,20201211,TME
18299,20201214,TME
18299,20201215,TME
18299,20201216,TME
18299,20201217,TME
18299,20201218,TME
18299,20201221,TME
18299,20201222,TME
18299,20201223,TME
18299,20201224,TME
18299,20201228,TME
18299,20201229,TME
18299,20201230,TME
18299,20201231,TME
18466,20201201,FUTU
18466,20201202,FUTU
18466,20201203,FUTU
18466,20201204,FUTU
18466,20201207,FUTU
18466,20201208,FUTU
18466,20201209,FUTU
18466,20201210,FUTU
18466,20201211,FUTU
18466,20201214,FUTU
18466,20201215,FUTU
18466,20201216,FUTU
18466,20201217,FUTU
18466,20201218,FUTU
18466,20201221,FUTU
18466,20201222,FUTU
18466,20201223,FUTU
18466,20201224,FUTU
18466,20201228,FUTU
18466,20201229,FUTU
18466,20201230,FUTU
18466,20201231,FUTU
18743,20201201,GSX
18743,20201202,GSX
18743,20201203,GSX
18743,20201204,GSX
18743,20201207,GSX
18743,20201208,GSX
18743,20201209,GSX
18743,20201210,GSX
18743,20201211,GSX
18743,20201214,GSX
18743,20201215,GSX
18743,20201216,GSX
18743,20201217,GSX
18743,20201218,GSX
18743,20201221,GSX
18743,20201222,GSX
18743,20201223,GSX
18743,20201224,GSX
18743,20201228,GSX
18743,20201229,GSX
18743,20201230,GSX
18743,20201231,GSX
18835,20201201,DKNG
18835,20201202,DKNG
18835,20201203,DKNG
18835,20201204,DKNG
18835,20201207,DKNG
18835,20201208,DKNG
18835,20201209,DKNG
18835,20201210,DKNG
18835,20201211,DKNG
18835,20201214,DKNG
18835,20201215,DKNG
18835,20201216,DKNG
18835,20201217,DKNG
18835,20201218,DKNG
18835,20201221,DKNG
18835,20201222,DKNG
18835,20201223,DKNG
18835,20201224,DKNG
18835,20201228,DKNG
18835,20201229,DKNG
18835,20201230,DKNG
18835,20201231,DKNG
19561,20201201,BA
19561,20201202,BA
19561,20201203,BA
19561,20201204,BA
19561,20201207,BA
19561,20201208,BA
19561,20201209,BA
19561,20201210,BA
19561,20201211,BA
19561,20201214,BA
19561,20201215,BA
19561,20201216,BA
19561,20201217,BA
19561,20201218,BA
19561,20201221,BA
19561,20201222,BA
19561,20201223,BA
19561,20201224,BA
19561,20201228,BA
19561,20201229,BA
19561,20201230,BA
19561,20201231,BA
19577,20201201,RKT
19577,20201202,RKT
19577,20201203,RKT
19577,20201204,RKT
19577,20201207,RKT
19577,20201208,RKT
19577,20201209,RKT
19577,20201210,RKT
19577,20201211,RKT
19577,20201214,RKT
19577,20201215,RKT
19577,20201216,RKT
19577,20201217,RKT
19577,20201218,RKT
19577,20201221,RKT
19577,20201222,RKT
19577,20201223,RKT
19577,20201224,RKT
19577,20201228,RKT
19577,20201229,RKT
19577,20201230,RKT
19577,20201231,RKT
19615,20201201,XPEV
19615,20201202,XPEV
19615,20201203,XPEV
19615,20201204,XPEV
19615,20201207,XPEV
19615,20201208,XPEV
19615,20201209,XPEV
19615,20201210,XPEV
19615,20201211,XPEV
19615,20201214,XPEV
19615,20201215,XPEV
19615,20201216,XPEV
19615,20201217,XPEV
19615,20201218,XPEV
19615,20201221,XPEV
19615,20201222,XPEV
19615,20201223,XPEV
19615,20201224,XPEV
19615,20201228,XPEV
19615,20201229,XPEV
19615,20201230,XPEV
19615,20201231,XPEV
19751,20201201,CCIV
19751,20201202,CCIV
19751,20201203,CCIV
19751,20201204,CCIV
19751,20201207,CCIV
19751,20201208,CCIV
19751,20201209,CCIV
19751,20201210,CCIV
19751,20201211,CCIV
19751,20201214,CCIV
19751,20201215,CCIV
19751,20201216,CCIV
19751,20201217,CCIV
19751,20201218,CCIV
19751,20201221,CCIV
19751,20201222,CCIV
19751,20201223,CCIV
19751,20201224,CCIV
19751,20201228,CCIV
19751,20201229,CCIV
19751,20201230,CCIV
19751,20201231,CCIV
19788,20201201,PLTR
19788,20201202,PLTR
19788,20201203,PLTR
19788,20201204,PLTR
19788,20201207,PLTR
19788,20201208,PLTR
19788,20201209,PLTR
19788,20201210,PLTR
19788,20201211,PLTR
19788,20201214,PLTR
19788,20201215,PLTR
19788,20201216,PLTR
19788,20201217,PLTR
19788,20201218,PLTR
19788,20201221,PLTR
19788,20201222,PLTR
19788,20201223,PLTR
19788,20201224,PLTR
19788,20201228,PLTR
19788,20201229,PLTR
19788,20201230,PLTR
19788,20201231,PLTR
19893,20201201,FUBO
19893,20201202,FUBO
19893,20201203,FUBO
19893,20201204,FUBO
19893,20201207,FUBO
19893,20201208,FUBO
19893,20201209,FUBO
19893,20201210,FUBO
19893,20201211,FUBO
19893,20201214,FUBO
19893,20201215,FUBO
19893,20201216,FUBO
19893,20201217,FUBO
19893,20201218,FUBO
19893,20201221,FUBO
19893,20201222,FUBO
19893,20201223,FUBO
19893,20201224,FUBO
19893,20201228,FUBO
19893,20201229,FUBO
19893,20201230,FUBO
19893,20201231,FUBO
21020,20201201,AAL
21020,20201202,AAL
21020,20201203,AAL
21020,20201204,AAL
21020,20201207,AAL
21020,20201208,AAL
21020,20201209,AAL
21020,20201210,AAL
21020,20201211,AAL
21020,20201214,AAL
21020,20201215,AAL
21020,20201216,AAL
21020,20201217,AAL
21020,20201218,AAL
21020,20201221,AAL
21020,20201222,AAL
21020,20201223,AAL
21020,20201224,AAL
21020,20201228,AAL
21020,20201229,AAL
21020,20201230,AAL
21020,20201231,AAL
21936,20201201,PFE
21936,20201202,PFE
21936,20201203,PFE
21936,20201204,PFE
21936,20201207,PFE
21936,20201208,PFE
21936,20201209,PFE
21936,20201210,PFE
21936,20201211,PFE
21936,20201214,PFE
21936,20201215,PFE
21936,20201216,PFE
21936,20201217,PFE
21936,20201218,PFE
21936,20201221,PFE
21936,20201222,PFE
21936,20201223,PFE
21936,20201224,PFE
21936,20201228,PFE
21936,20201229,PFE
21936,20201230,PFE
21936,20201231,PFE
25785,20201201,F
25785,20201202,F
25785,20201203,F
25785,20201204,F
25785,20201207,F
25785,20201208,F
25785,20201209,F
25785,20201210,F
25785,20201211,F
25785,20201214,F
25785,20201215,F
25785,20201216,F
25785,20201217,F
25785,20201218,F
25785,20201221,F
25785,20201222,F
25785,20201223,F
25785,20201224,F
25785,20201228,F
25785,20201229,F
25785,20201230,F
25785,20201231,F
26403,20201201,DIS
26403,20201202,DIS
26403,20201203,DIS
26403,20201204,DIS
26403,20201207,DIS
26403,20201208,DIS
26403,20201209,DIS
26403,20201210,DIS
26403,20201211,DIS
26403,20201214,DIS
26403,20201215,DIS
26403,20201216,DIS
26403,20201217,DIS
26403,20201218,DIS
26403,20201221,DIS
26403,20201222,DIS
26403,20201223,DIS
26403,20201224,DIS
26403,20201228,DIS
26403,20201229,DIS
26403,20201230,DIS
26403,20201231,DIS
27422,20201201,CLF
27422,20201202,CLF
27422,20201203,CLF
27422,20201204,CLF
27422,20201207,CLF
27422,20201208,CLF
27422,20201209,CLF
27422,20201210,CLF
27422,20201211,CLF
27422,20201214,CLF
27422,20201215,CLF
27422,20201216,CLF
27422,20201217,CLF
27422,20201218,CLF
27422,20201221,CLF
27422,20201222,CLF
27422,20201223,CLF
27422,20201224,CLF
27422,20201228,CLF
27422,20201229,CLF
27422,20201230,CLF
27422,20201231,CLF
30796,20201201,GFI
30796,20201202,GFI
30796,20201203,GFI
30796,20201204,GFI
30796,20201207,GFI
30796,20201208,GFI
30796,20201209,GFI
30796,20201210,GFI
30796,20201211,GFI
30796,20201214,GFI
30796,20201215,GFI
30796,20201216,GFI
30796,20201217,GFI
30796,20201218,GFI
30796,20201221,GFI
30796,20201222,GFI
30796,20201223,GFI
30796,20201224,GFI
30796,20201228,GFI
30796,20201229,GFI
30796,20201230,GFI
30796,20201231,GFI
38703,20201201,WFC
38703,20201202,WFC
38703,20201203,WFC
38703,20201204,WFC
38703,20201207,WFC
38703,20201208,WFC
38703,20201209,WFC
38703,20201210,WFC
38703,20201211,WFC
38703,20201214,WFC
38703,20201215,WFC
38703,20201216,WFC
38703,20201217,WFC
38703,20201218,WFC
38703,20201221,WFC
38703,20201222,WFC
38703,20201223,WFC
38703,20201224,WFC
38703,20201228,WFC
